antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.047313336210617174,0.04256581786793267,0.028593008200258955,0.6043329532497149,14.197611687499007,1.0,0.02657907734839356,2.4197976303453115,0.9757306926715438,0.4665492957746478,0.5867423013149669,0.6380346642040717
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04256581786793267,0.047313336210617174,0.028593008200258955,0.6717363751584284,14.197611687499009,1.0,0.02657907734839356,2.902199914014761,0.9708924495343885,0.4665492957746478,0.6554337986260054,0.6380346642040717
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.047313336210617174,0.03307078118256366,0.021363832542080276,0.451539338654504,13.653724602446797,1.0,0.019799143553241888,1.7629873698604817,0.9727856456861496,0.36197440585009144,0.4327809619650665,0.5487713006486223
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03307078118256366,0.047313336210617174,0.021363832542080276,0.6460032626427407,13.653724602446799,1.0,0.019799143553241888,2.6912300686769206,0.9584568273822304,0.36197440585009144,0.6284227009652779,0.5487713006486223
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.03323262839879154,0.03798014674147605,0.022874406560207165,0.6883116883116883,18.12293388429752,1.0,0.021612226457016118,3.086480362537764,0.9772995283018867,0.4732142857142858,0.6760063624128227,0.6452922077922079
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03798014674147605,0.03323262839879154,0.022874406560207165,0.6022727272727273,18.12293388429752,1.0,0.021612226457016118,2.430729391454467,0.9821224510525914,0.4732142857142858,0.5886008522727273,0.6452922077922079
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.04078549848942598,0.034257660768234784,0.024978420371169617,0.6124338624338624,17.877282006415868,1.0,0.02358120459965551,2.4918129981543156,0.984204350266152,0.4989224137931035,0.5986857758825805,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.034257660768234784,0.04078549848942598,0.024978420371169617,0.7291338582677166,17.877282006415864,1.0,0.02358120459965551,3.541286095693108,0.977551720447583,0.4989224137931035,0.7176167152334305,0.6707838603507895
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.029995684074233923,0.03727880880448856,0.024816573154941735,0.8273381294964028,22.19325552582536,1.0,0.023698369783378526,5.575760232340669,0.9844711515210137,0.5844980940279542,0.8206522593637054,0.7465200054139033
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03727880880448856,0.029995684074233923,0.024816573154941735,0.6657018813314037,22.19325552582536,1.0,0.023698369783378526,2.901614642011707,0.9919188178396091,0.5844980940279542,0.6553642976840323,0.7465200054139033
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.03727880880448856,0.09192921881743633,0.02017695295640915,0.5412445730824892,5.887622891230646,1.0,0.01674994118456795,1.9794224283821815,0.8622975923092943,0.1850569025235032,0.4948021272966385,0.3803640705788033
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.09192921881743633,0.03727880880448856,0.02017695295640915,0.2194835680751174,5.887622891230646,1.0,0.01674994118456795,1.233441285561768,0.9141932351924523,0.1850569025235032,0.18926015230262686,0.3803640705788033
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03727880880448856,0.04224212343547691,0.029186447993094517,0.7829232995658466,18.534184266606044,1.0,0.027611711950047767,4.4120712847072365,0.9826787354032904,0.5798499464094318,0.7733490835775662,0.7369278055939067
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04224212343547691,0.03727880880448856,0.029186447993094517,0.6909323116219668,18.534184266606044,1.0,0.027611711950047767,3.1149202177937414,0.9877711954752277,0.5798499464094318,0.6789644902339466,0.7369278055939067
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.05184505826499784,0.04321320673284419,0.021957272334915838,0.42351716961498437,9.800642017457367,1.0,0.019716881114034135,1.659696946443568,0.9470665907081272,0.30036900369003694,0.39748036402499864,0.46581601302222375
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04321320673284419,0.05184505826499784,0.021957272334915838,0.5081148564294632,9.800642017457367,1.0,0.019716881114034135,1.9275941835780122,0.9385224320098863,0.30036900369003694,0.4812186047668011,0.46581601302222375
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.08631851532153648,0.046989641778161416,0.02945619335347432,0.34125,7.262238805970149,1.0,0.025400117239692585,1.4466950409439676,0.9437658861371662,0.28363636363636363,0.30876931786017553,0.48405783582089557
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.046989641778161416,0.08631851532153648,0.02945619335347432,0.6268656716417911,7.262238805970149,1.0,0.025400117239692585,2.4486663789382823,0.9048185138759722,0.28363636363636363,0.5916144360859849,0.48405783582089557
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03528269313767803,0.08631851532153648,0.02233491583944756,0.6330275229357798,7.333623853211009,1.0,0.019289366151257828,2.489782045748813,0.8952278138975474,0.22499999999999995,0.5983584178753906,0.4458887614678899
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.08631851532153648,0.03528269313767803,0.02233491583944756,0.25875,7.333623853211009,1.0,0.019289366151257828,1.3014736011633348,0.9452328630205444,0.22499999999999995,0.23164019684599035,0.4458887614678899
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.08631851532153648,0.04261976694000863,0.021363832542080276,0.24749999999999997,5.807164556962025,1.0,0.01768495753646883,1.2722660904451712,0.9060038266462451,0.19859578736208625,0.21400090161163074,0.37438291139240504
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04261976694000863,0.08631851532153648,0.021363832542080276,0.5012658227848101,5.807164556962025,1.0,0.01768495753646883,1.8320009464365132,0.8646501075217407,0.19859578736208625,0.4541487536100166,0.37438291139240504
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.08631851532153648,0.04175658178679327,0.023413897280966767,0.27125,6.495981912144702,1.0,0.01980953113622846,1.3149137814246403,0.9259886501418187,0.22371134020618552,0.23949386330368203,0.41598675710594313
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04175658178679327,0.08631851532153648,0.023413897280966767,0.5607235142118863,6.4959819121447016,1.0,0.01980953113622846,2.0799690268856788,0.8829266849905328,0.22371134020618552,0.5192236100278416,0.41598675710594313
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.08631851532153648,0.06948640483383686,0.022928355632283126,0.265625,3.822690217391304,1.0,0.016930392331995094,1.2670823423539244,0.8081636055461391,0.17255379618351604,0.21078530844155843,0.29779697204968947
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06948640483383686,0.08631851532153648,0.022928355632283126,0.3299689440993789,3.822690217391304,1.0,0.016930392331995094,1.3636405008874406,0.7935446906035141,0.17255379618351604,0.26666889158160645,0.29779697204968947
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05675442382391023,0.05211480362537765,0.022712559343979283,0.400190114068441,7.679010304733564,1.0,0.019754813691524747,1.5803093923710023,0.922108628941235,0.2636192861615529,0.3672125187463075,0.4180039597257319
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05211480362537765,0.05675442382391023,0.022712559343979283,0.4358178053830227,7.679010304733564,1.0,0.019754813691524747,1.671881149699271,0.9175951774848351,0.2636192861615529,0.40187135898991705,0.4180039597257319
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05675442382391023,0.05022658610271903,0.025032369443245578,0.44106463878326996,8.781497469910517,1.0,0.02218178848834374,1.6992544752039789,0.939441676725124,0.3054641211323239,0.41150662564536733,0.4697267339995834
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05022658610271903,0.05675442382391023,0.025032369443245578,0.49838882921589694,8.78149746991052,1.0,0.02218178848834374,1.8804317589292068,0.9329848495235484,0.3054641211323239,0.46820723737965375,0.4697267339995834
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05675442382391023,0.06948640483383686,0.02789167026327147,0.49144486692015205,7.0725326500247965,1.0,0.02394800939333209,1.829720190868792,0.9102697708255617,0.28359846407021383,0.4534683472421114,0.44642119122405116
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06948640483383686,0.05675442382391023,0.02789167026327147,0.4013975155279503,7.0725326500247965,1.0,0.02394800939333209,1.5757461765431953,0.9227247607324977,0.28359846407021383,0.3653800244695771,0.44642119122405116
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05330168321104877,0.05675442382391023,0.022550712127751404,0.4230769230769231,7.4545188651652525,1.0,0.019525605808263742,1.6349589987052224,0.9146030627680958,0.2577065351418003,0.3883638667441001,0.41020766305937406
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05675442382391023,0.05330168321104877,0.022550712127751404,0.3973384030418251,7.454518865165253,1.0,0.019525605808263742,1.5708621912649474,0.9179509577587821,0.2577065351418003,0.3634069203774373,0.41020766305937406
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05675442382391023,0.048500215796288305,0.02206517047906776,0.38878326996197715,8.01611422916041,1.0,0.019312568676214108,1.556730595617892,0.9279145333854663,0.2652399481193255,0.35762809389438155,0.4218666071723123
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.048500215796288305,0.05675442382391023,0.02206517047906776,0.45494994438264735,8.01611422916041,1.0,0.019312568676214108,1.7305668836373564,0.9198649261048643,0.2652399481193255,0.42215466535556806,0.4218666071723123
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04671989641778161,0.06948640483383686,0.020986189037548553,0.4491916859122402,6.464454262476152,1.0,0.017739791401267656,1.6893601119788204,0.8867361205069229,0.2203966005665722,0.40805989622386846,0.37560515972630637
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.06948640483383686,0.04671989641778161,0.020986189037548553,0.3020186335403726,6.464454262476151,1.0,0.017739791401267656,1.3657672674236898,0.9084315427503087,0.2203966005665722,0.267810831426392,0.37560515972630637
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05211480362537765,0.05022658610271903,0.023036253776435044,0.44202898550724634,8.80069739566307,1.0,0.020418705104918722,1.7021913132185034,0.9351054797204625,0.2904761904761905,0.4125219696314864,0.4503378010242999
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05022658610271903,0.05211480362537765,0.023036253776435044,0.45864661654135336,8.80069739566307,1.0,0.020418705104918722,1.7509545988586774,0.9332464231007398,0.2904761904761905,0.4288829643830692,0.4503378010242999
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05211480362537765,0.06948640483383686,0.024708675010789813,0.4741200828157349,6.82320640921775,1.0,0.02108740466824091,1.769441206556129,0.9003636110579515,0.255011135857461,0.43484982925976706,0.41485507246376807
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.06948640483383686,0.05211480362537765,0.024708675010789813,0.3555900621118012,6.82320640921775,1.0,0.02108740466824091,1.4709350999162814,0.9171723473033515,0.255011135857461,0.3201603523793027,0.41485507246376807
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.05330168321104877,0.05211480362537765,0.021094087181700475,0.395748987854251,7.5937921727395405,1.0,0.01831628042825458,1.5686944288410836,0.9172018932943589,0.25015994881637876,0.36252721905898677,0.40025544630807786
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05211480362537765,0.05330168321104877,0.021094087181700475,0.40476190476190477,7.593792172739541,1.0,0.01831628042825458,1.590453172205438,0.9160534333255214,0.25015994881637876,0.3712483853810501,0.40025544630807786
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.048500215796288305,0.05211480362537765,0.021040138109624514,0.43381535038932145,8.324224984282052,1.0,0.01851255888761251,1.6741626552864153,0.9247177044761667,0.26440677966101694,0.40268647323941165,0.41877102923192777
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05211480362537765,0.048500215796288305,0.021040138109624514,0.40372670807453415,8.324224984282052,1.0,0.01851255888761251,1.595744429758308,0.928243947287772,0.26440677966101694,0.3733332347264027,0.41877102923192777
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.06948640483383686,0.05022658610271903,0.028215364695727232,0.40605590062111796,8.084481389809929,1.0,0.024725299800372132,1.5990956301956833,0.9417446797943929,0.30837264150943394,0.37464653075336796,0.48390872367253535
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05022658610271903,0.06948640483383686,0.028215364695727232,0.5617615467239527,8.084481389809929,1.0,0.024725299800372132,2.1233043066169066,0.9226476703830553,0.30837264150943394,0.5290359479403518,0.48390872367253535
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05330168321104877,0.06948640483383686,0.025194216659473457,0.4726720647773279,6.802367540925893,1.0,0.021490474321545598,1.7645824031174073,0.9010181434440573,0.25815367606412376,0.4332936800042063,0.41762485226444035
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.06948640483383686,0.05330168321104877,0.025194216659473457,0.36257763975155277,6.802367540925893,1.0,0.021490474321545598,1.4851978465580622,0.9166898412080425,0.25815367606412376,0.3266890318232723,0.41762485226444035
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.048500215796288305,0.06948640483383686,0.024277082434182133,0.5005561735261401,7.203656236397929,1.0,0.020906976804832795,1.8630996036845895,0.9050780871022409,0.2590673575129534,0.46326004362711815,0.42496752775685886
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06948640483383686,0.048500215796288305,0.024277082434182133,0.34937888198757766,7.20365623639793,1.0,0.020906976804832795,1.4624483556734853,0.9254906204906206,0.2590673575129534,0.3162151701832363,0.42496752775685886
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04423823910228744,0.06948640483383686,0.023359948208890806,0.5280487804878048,7.599310710498408,1.0,0.02028599201749319,1.9716308734786916,0.9086041662212679,0.25850746268656716,0.4928056699398162,0.4321144523557036
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.06948640483383686,0.04423823910228744,0.023359948208890806,0.33618012422360244,7.599310710498409,1.0,0.02028599201749319,1.439790816416671,0.9332578506943403,0.25850746268656716,0.30545466147034855,0.4321144523557036
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05330168321104877,0.048500215796288305,0.02039274924471299,0.3825910931174089,7.888441047857944,1.0,0.017807606106671727,1.5411176832676512,0.9223975840114431,0.2504970178926441,0.3511202870116398,0.4015291394396833
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.048500215796288305,0.05330168321104877,0.02039274924471299,0.42046718576195774,7.888441047857944,1.0,0.017807606106671727,1.6335542932692269,0.9177429724007939,0.2504970178926441,0.38783791630292047,0.4015291394396833
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.05330168321104877,0.04423823910228744,0.02184937419076392,0.409919028340081,9.266169645502123,1.0,0.019491401584319164,1.6197128983995541,0.942307097006588,0.2886671418389166,0.38260663294828073,0.4519107336822356
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.04423823910228744,0.05330168321104877,0.02184937419076392,0.49390243902439024,9.266169645502123,1.0,0.019491401584319164,1.8705846259444336,0.93337124284667,0.2886671418389166,0.46540777352154644,0.4519107336822356
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.052870090634441085,0.03760250323694433,0.024331031506258094,0.46020408163265314,12.238655462184875,1.0,0.022342983752038983,1.782891392869177,0.9695519791213572,0.367862969004894,0.43911333915257916,0.5536314525810324
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.03760250323694433,0.052870090634441085,0.024331031506258094,0.6470588235294118,12.238655462184875,1.0,0.022342983752038983,2.6835347432024172,0.9541708921719012,0.367862969004894,0.6273571629608782,0.5536314525810324
frozenset({'PARTY BUNTING'}),frozenset({'SPOTTY BUNTING'}),0.0744497194648252,0.05411091929218818,0.020986189037548553,0.2818840579710145,5.20937477422804,1.0,0.016957646276261347,1.317181565465974,0.8730356426825125,0.1950852557673019,0.2408032224120644,0.33486027424971465
frozenset({'SPOTTY BUNTING'}),frozenset({'PARTY BUNTING'}),0.05411091929218818,0.0744497194648252,0.020986189037548553,0.38783649052841473,5.20937477422804,1.0,0.016957646276261347,1.5119331129914988,0.8542633597137501,0.1950852557673019,0.3385950797642047,0.33486027424971465
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.029995684074233923,0.04224212343547691,0.02352179542511869,0.7841726618705036,18.563760485864183,1.0,0.02225471403592333,4.437611494748957,0.9753890663428273,0.48283499446290146,0.7746535492835945,0.6705026783171164
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04224212343547691,0.029995684074233923,0.02352179542511869,0.5568326947637292,18.563760485864183,1.0,0.02225471403592333,2.1887993641783137,0.9878609481689876,0.48283499446290146,0.5431285222547544,0.6705026783171164
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.10633362106171775,0.03663141993957704,0.024546827794561934,0.23084728564180618,6.301892911128895,1.0,0.0206516762677543,1.252506247558769,0.9414223687571107,0.2072892938496583,0.20160078885907598,0.4504751892126556
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03663141993957704,0.10633362106171775,0.024546827794561934,0.6701030927835051,6.301892911128894,1.0,0.0206516762677543,2.7089262111566677,0.8733080326181072,0.2072892938496583,0.6308500409197133,0.4504751892126556
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04224212343547691,0.09192921881743633,0.022658610271903322,0.5363984674329502,5.834907272498336,1.0,0.01877532486329021,1.9587311891623893,0.8651640366618116,0.20319303338171263,0.48946542254854825,0.3914386703361934
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.09192921881743633,0.04224212343547691,0.022658610271903322,0.24647887323943662,5.834907272498336,1.0,0.01877532486329021,1.2710431632912362,0.9125033948940793,0.20319303338171263,0.213244656923686,0.3914386703361934
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.0437526974536038,0.04725938713854122,0.025248165731549418,0.5770653514180024,12.210597435940745,1.0,0.02318044006423409,2.2526899038794257,0.9601113883765505,0.38392124692370794,0.5560862601293372,0.555655963380234
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04725938713854122,0.0437526974536038,0.025248165731549418,0.5342465753424658,12.210597435940747,1.0,0.02318044006423409,2.053119208408439,0.9636452071899411,0.38392124692370794,0.5129362211874723,0.555655963380234
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.024816573154941735,0.04224212343547691,0.021040138109624514,0.8478260869565217,20.07063135099117,1.0,0.019991833363167923,6.293837474566866,0.9743561373346723,0.4572098475967175,0.8411144227919837,0.6729551890721306
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.02352179542511869,0.03727880880448856,0.021040138109624514,0.8944954128440367,23.994742362484896,1.0,0.02016327359523322,9.124922594809627,0.9814086981158804,0.5291723202170963,0.890410029278625,0.7294474169864178
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.029186447993094517,0.029995684074233923,0.021040138109624514,0.7208872458410351,24.033032354153647,1.0,0.02016467063637459,3.4753134762638376,0.9872035679426621,0.5516265912305516,0.7122561729093119,0.7111630473809492
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.029995684074233923,0.029186447993094517,0.021040138109624514,0.7014388489208633,24.033032354153647,1.0,0.02016467063637459,3.251640571782165,0.9880271526767632,0.5516265912305516,0.6924629343482701,0.7111630473809492
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.03727880880448856,0.02352179542511869,0.021040138109624514,0.5643994211287988,23.994742362484896,1.0,0.02016327359523322,2.241682522794827,0.9954327506807192,0.5291723202170963,0.5539065011073709,0.7294474169864178
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.04224212343547691,0.024816573154941735,0.021040138109624514,0.49808429118773945,20.07063135099117,1.0,0.019991833363167923,1.9429227053935894,0.992083678164904,0.4572098475967175,0.485311486028764,0.6729551890721306
